experiment_no;language;energy-cores;energy-gpu;energy-pkg;energy-psys;total_energy;elapsed_time;accuracy;random_seed;net_energy;algorithm
40;julia;479,85;1,05;701,07;1234,57;2416.54;96.26373254;0.962497582;258;2347.0402590986905;svm
41;julia;474,97;0,95;690,72;1207,4;2374.04;93.09901874;0.963288958;882;2306.8250945535738;svm
42;julia;481,41;0,92;703,38;1240,4;2426.11;97.41950529;0.962304134;532;2355.7758232779893;svm
43;julia;473,76;0,99;687,32;1199,81;2361.88;92.89240666;0.963244992;951;2294.8142627361094;svm
44;julia;472,74;1,05;688,82;1205,31;2367.92;93.79027169;0.963025166;261;2300.2060291251446;svm
45;julia;471,84;1,04;685,19;1203,98;2362.05;93.23969737;0.96246241;150;2294.733528490454;svm
46;julia;482,18;0,92;699,48;1218,99;2401.57;94.02524624;0.961969998;171;2333.686384027116;svm
47;julia;491;0,98;713,52;1241,5;2447.0;95.62347061;0.963306544;617;2377.962510427097;svm
48;julia;478,49;0,87;700,97;1238,01;2418.34;97.22948957;0.962400858;709;2348.1430093496147;svm
49;julia;481,71;0,94;702,58;1230,98;2416.21;95.87651728;0.962752581;59;2346.9898177604314;svm
50;julia;479,83;0,99;700,12;1231,21;2412.15;96.22906253;0.962224997;947;2342.675289882855;svm
51;julia;478,01;0,98;695,5;1220,62;2395.11;95.00714089;0.962093101;708;2326.517483364667;svm
52;julia;480,68;1,04;698,74;1221,5;2401.96;94.13596052;0.961961205;143;2333.9964513923524;svm
53;julia;487,11;0,99;706,91;1227,54;2422.55;94.58007283;0.962321721;10;2354.2658146409854;svm
54;julia;476,98;0,97;694,26;1209,73;2381.94;93.68504394;0.962242583;201;2314.302000637652;svm
56;julia;480,69;0,95;701,17;1233,75;2416.56;96.59040241;0.963280165;493;2346.824412526714;svm
57;julia;480,01;0,94;694,8;1206,28;2382.03;92.93355186;0.962383272;96;2314.934557044632;svm
58;julia;479,76;1;699,9;1235,36;2416.02;96.10777153;0.96364068;325;2346.63285861566;svm
59;julia;472,8;0,92;687,92;1207,88;2369.52;94.37908507;0.963025166;261;2301.380922220712;svm
60;julia;477,65;1,05;698,26;1222,65;2399.61;95.61107824;0.963227406;65;2330.5814573740045;svm
62;python;48,82;0,09;61,19;104,82;214.92;5.571554396;0.962295341;787;210.89749249148787;svm
