experiment_no;language;energy-cores;energy-gpu;energy-pkg;energy-psys;total_energy;elapsed_time;accuracy;random_seed;net_energy
79;python;82,14;0,1;100,73;165,85;348.82;9.01231978;0.997678631;865;342.3133554610561
80;python;83,98;0,17;102,67;167,98;354.8;9.227171317;0.997810527;23;348.13823861944036
81;python;91,91;0,15;112,18;182,88;387.12;9.962519892;0.997801734;128;379.92733737463965
82;python;82,57;0,14;100,43;163,43;346.57;8.861306795;0.997414839;960;340.172382641421
83;python;91,37;0,11;111,55;182,41;385.44;9.936796126;0.997801734;682;378.2659092191426
84;python;85,54;0,13;104,17;170,14;359.98;9.307915583;0.997282943;295;353.25994350228467
85;python;81,32;0,13;99,13;162,19;342.77;8.787706625;0.99750277;28;336.4255199197118
86;python;80,83;0,07;98,42;160,73;340.05;8.802962057;0.997713803;695;333.6945059215698
87;python;83,58;0,13;101,72;165,89;351.32;9.037213189;0.99793363;969;344.7953831112417
88;python;80,03;0,11;97,43;159,25;336.82;8.699480747;0.997775355;897;330.53921655290895
89;python;85,83;0,1;104,84;172,82;363.59;9.356174102;0.997696217;196;356.835102192081
90;python;83,72;0,16;101,91;166,15;351.94;9.055749758;0.997599494;10;345.4020002233284
